Date,Open,Close/Last,High,Low
11-06-2020,15463.3,15498.7,15754.4,15471.1
11-05-2020,14293.3,15548.2,15955.2,15433
11-04-2020,13908.9,14292.5,14358.6,14099.7
11-03-2020,13419.7,13897.3,14034.5,13704.8
11-02-2020,13698.9,13419,13640.2,13321.2
11-01-2020,13677.2,13666.5,13828.4,13655
10/31/2020,13491.7,13659,13889.5,13659
10/30/2020,13434,13471.3,13731.5,13441.7
10/29/2020,13280.8,13452.7,13655.7,13363.1
10/28/2020,13785,13266.6,13308.6,13180.8
10/27/2020,13082.2,13799.5,13851.7,13637.3
10/26/2020,13100.9,13090,13125.2,13050.3
10/25/2020,13298.6,13101.3,13129.3,12982.5
10/24/2020,12972,13303.9,13343.9,13077.8
10/23/2020,12966.3,12982.1,13013.7,12876.4
10/22/2020,12726,12958.2,13005.1,12842.7
10/21/2020,12187.8,12770.2,12928.1,12718.1
10/20/2020,11743.2,12195.9,12232.6,11894.6
10/19/2020,11421.2,11756.5,11760.8,11685.7
10/18/2020,11370.6,11430.9,11529.8,11427.2
10/17/2020,11365.6,11372.3,11399.5,11349.8
10/16/2020,11508.9,11355.2,11358,11274.4
10/15/2020,11377.5,11499,11542.2,11474.9
10/14/2020,11392.8,11376.5,11426.4,11361.7
10/13/2020,11457.4,11442.7,11485.6,11413.8
10-12-2020,11386.4,11469.1,11540.4,11436.9
10-11-2020,11333,11395.5,11408.8,11348.5
